Accuracy ,0.774647887,,
positive,,,@shenlaus sau talaga nagcomplain. Haha sori kc very dissatisfied tlaga ako sa globe plan @talk2GLOBE 
negative,,,@shenlaus sa district ayala mall. Tapos everytime na tumatawag ako sa globe cust service iba2 sinasabi. Inconsistent. @talk2GLOBE 
neutral,,,Hi @talk2GLOBE  I have a question though. How can I turn off my bb social thru sms? What should I type again? 
neutral,,,@jayz0ne25 @talk2globe punta ka store then cla 
positive,,,@talk2GLOBE sure! :) thank you for replying! :D im enjoying the connection! good signal :> 
neutral,,,@shenlaus @talk2GLOBE sabi sa district they dont giv contact # sa cust service daw tmwag. Hahaha ang gulo 
negative,,,Tangina globe ano bang problema niyo? bakit wala kaming signal sa sta.rosa @enjoyGLOBE 
neutral,,,@nicoarciaga gigil na sayo!@enjoyglobe 
neutral,,,RT @convincebrandon: What's with Globe Telecom's signal? :\ 
neutral,,,@misamaligaya @talk2globe ayun na nga 
negative,,,@talk2GLOBE BAKIT ANG HINA NG SIGNAL NIYO DITO SA BAHAY? 
negative,,,Putang inang signal ng globe bulok yung 3G nyo!!! Peste naman kasi may LTE pa @enjoyGLOBE @NelskiOfGlobe @KenOfGlobe @KirkOfGlobe 
positive,,,"@talk2GLOBE the remaining balance on my prepaid account always get used up, and I cant use my free text msgs. Had been ongoing for 2yrs now. "
neutral,,,"@talk2GLOBE what I'm referring to is the unbilled charges, where in the amts being displayed are those only on top of our bill?Unlike before "
negative,,,"@talk2GLOBE and with regards to our tattoo at home, it's getting worse! Almost no internet connection! Since friday.. "
negative,,,"RT @akosiar: Chicser gaming with @tulume, pero ang taas ng ping ko. Taena nanaman @enjoyGLOBE. "
neutral,,,@talk2GLOBE hi may prepaid LTE na po ba ang globe? tnx and more power 
neutral,,,@iNazzij ah uki po. Kaya pala ayw mgsend. Mag month ks na sa bbm ask mo globe pnu ung bbchat 90 @talk2GLOBE 
neutral,,,Hi @enjoyGLOBE pano po iactivate ung gcash acc.? 
neutral,,,@Thepowersingle Have you read talk2GLOBE's previous tweet to you sir? 
neutral,,,@talk2GLOBE opo.. 
positive,,,@talk2globe Okay! Thanks. :) 
negative,,,@talk2globe No internet.. The light of the internet is color red in the modem.. 
negative,,,"@talk2GLOBE @TemOfGlobe That is the problem. The call dropped when they put me on hold,THEY DID NOT CALL ME BACK even if they had my #! "
neutral,,,@talk2GLOBE Still ganun pa rin. :( Huhuhu. Good Morning! I need to refresh every time. I also need to disconnect and connect 
neutral,,,@talk2GLOBE @lesreyes1 any feedback on my previous tweet? 
negative,,,@talk2GLOBE @TemOfGlobe I already went to the business center and they also asked me to call the hotline. Ridiculous! 
neutral,,,@ChrisOfGlobe ok still no roaming in tokyo @talk2GLOBE 
negative,,,@talk2GLOBE poor internet signal in our house sa Laguna. 
neutral,,,"At dhl ang aga ko., sarado p ang main daan ni Globe. (@ Globe Telecom Plaza - @enjoyglobe w/ @vhin_kinse) http://t.co/JhxBE8HeTT "
positive,,,@talk2GLOBE any update about my request??thanks 
neutral,,,@talk2GLOBE mobile Internet. 
positive,,,@talk2GLOBE done. thanks. 
neutral,,,@talk2GLOBE its 09177152243 
neutral,,,@talk2GLOBE im using S4 
neutral,,,Ï@talk2GLOBE: @ohohtoffy @TemOfGlobe. May we ask what bill no. is this Cris?Ó - bill no. 18 
positive,,,"@talk2GLOBE hi. Pls advice if my postpaid acct is under ""unlimited"" internet surfing, pls. Appreciate ur immediate reply. Ty. "
neutral,,,RT @talk2GLOBE: Globe Telecom Holds First Globe Community Meet-up http://t.co/RP4ZKVXO12 /via @hwz_ph 
negative,,,Atin na ring ireklamo ang @OneLaSalle (Dela Salle Lipa) sa @talk2GLOBE. Baka signal lang ang kailangan ng management para makinig sila. 
neutral,,,"@talk2GLOBE you haven't been updating the winning codes for d OMGCASH promo, have you? "
neutral,,,Why am i not rcvng txt msgs since yesterday? @talk2GLOBE GRRR!! 
neutral,,,I cant even send txt msgs too!!! whats with ur signal @talk2GLOBE ?? GRRR!!! 
neutral,,,@talk2GLOBE Yes 
neutral,,,@talk2GLOBE P5.50 po 
neutral,,,"I'm at Globe Telecom MK2 (Makati City, Metro Manila) http://t.co/hR2RYsDoUD "
negative,,,"@talk2GLOBE, last Monday I asked for a copy of my bill #23. I was never given one eh. 7 days later, wala pa rin. I am not paying for that. "
negative,,,@talk2GLOBE hello! Its a bit slower than normal and am getting lag spikes in games. 
negative,,,@talk2GLOBE may 3G pero hindi pa din consistent. Madalas EDGE. Hope Globe will do something about this. 
neutral,,,"@talk2GLOBE  Yes, i'm still experiencing it. What should i do? "
neutral,,,"@talk2GLOBE goodmorning, how can I activate my mms ? Forgot na kasi how... "
negative,,,@talk2GLOBE Globe Tattoo not working in McKinley Hill BGC since Thursday last week. 
neutral,,,Good morning @talk2GLOBE! :D 
negative,,,@talk2GLOBE wala man po. Same pa din. 
negative,,,"Sobrang astig ng Globe My Best Ever Super Plan! Swak na swak sa calls, texts and data needs ko! ?? Good job @enjoyGLOBE! ???????? "
negative,,,"@talk2GLOBE @DeyOfGlobe @NelskiOfGlobe i got a q's. I'm already in postpaid but planning to get another phone under my name, it is possible? "
positive,,,@talk2GLOBE thank you. 
neutral,,,@talk2GLOBE i told you for starters address the upgrade bandwidth cap which wasnt advised to us over the phone 
negative,,,nasend na pala..hnd man lng me sinabehan...hays anyway thanks parin @talk2GLOBE :) 
negative,,,@talk2GLOBE hello Globe paemail po ng billing ko wala po ako natatangap :) 
negative,,,Kelangan talaga mabagal ang @enjoyGLOBE pag maulan? Ang sabaw lang ampota. 
neutral,,,@talk2GLOBE anyways if you cant address the bandwidth cap that wasnt advised to us upon upgrade over the phone ill just get a runaround 
neutral,,,@talk2GLOBE and dnt delete my replies its best that your followers be able to read it 
neutral,,,@talk2GLOBE i did several times. It didnt work. 
negative,,,@talk2GLOBE OK following already... 
positive,,,@talk2GLOBE Alright. Thank you! 
neutral,,,"@talk2GLOBE I have taken it to Apple and they said Globe is the responsible in replacing it not them. Yes, it's still under 1 year warranty. "
negative,,,"@talk2GLOBE Bakit ganun, turuan?!? Pasahan ng responsibility?!? Haaay "
negative,,,@talk2GLOBE Mabagal po 
neutral,,,@juristantrum ouch! @talk2GLOBE 
negative,,,@NelskiOfGlobe I've already followed too many @HarryOfGlobe @talk2globe pls call me instead 
neutral,,,@talk2GLOBE hi just wanna ask what are the requirements for applying a plan for Samsung Galaxy s4 
negative,,,@talk2GLOBE @talk2GLOBE opo eh.sobrang delayed po. mdami po kami nkakaexperience. 2 days na po siguro to. welcome po. :) 
negative,,,@talk2globe can you just assign me one person? This has been taking too long and I need my roaming fixed asap! 
neutral,,,@talk2GLOBE any update? 
negative,,,@talk2GLOBE I already turned my roaming off and I still couldn't send messages. What might be the problem? 
negative,,,Sabi ng tita ko baka nabudol lang daw ako ni @enjoyGLOBE.. Toinks wait lang sya at ipapadala na ni globe ang prize ko.. :) 
neutral,,,@talk2GLOBE Can I avail of My Super Plan postpaid & retain my existing globe prepaid number? 
positive,,,@talk2GLOBE Alright! Last question: is the plan modification free or do I have to pay something? 
neutral,,,Damn @talk2GLOBE where's my ip5 replacement? been almost a month now. 
negative,,,@talk2GLOBE thanks for respondong to my inquiry. I have escalated thru issue thru Globe hotline. Sim card was activated. 
neutral,,,@HarryOfGlobe @talk2GLOBE Yun nga ang prob.I didnt shared any load bet june 2-5 but hw come sa system niyo nagreflect that I did amnting 950 
neutral,,,RT @VinaSayson: 1. @talk2GLOBE guys told me that there would be an sms sent after I consumed half of my data credits and another one after ÷ 
negative,,,RT @VinaSayson: 2. now I receive my bill and found out I have exceeded waaaaaaay much more than my credits. NASAN ANG TEXT @talk2GLOBE?!?!?÷ 
neutral,,,"@talk2GLOBE Salamaaat po! :""> Anu po ba ung mga available niong service? "
positive,,,@talk2GLOBE any development regarding this case? thank you 
negative,,,"@DOTCPhilippines, can I file a complaint against @talk2GLOBE for asking me to pay without sending me my statement of account? "
neutral,,,@talk2GLOBE: The person didn't give us anything after we gave our application to him. :/ 
positive,,,@uhhJD Hello! I'm here for my @KenOfGlobe :) You may tweet @enjoyGLOBE regarding this matter. Thank you! :) 
negative,,,@talk2GLOBE i'm a postpaid user and subscribed for a MySuperUnli call and text to globe/tm 599 a while ago. I wanna know if i can use it now 
neutral,,,@talk2GLOBE yes of course!! 
neutral,,,for the nth time. tsk tsk. @enjoyglobe http://t.co/GFLiJhB6FB 
positive,,,"@talk2GLOBE @mariasgracias ayan na friend, ahehehe Thank you po ulit sa 4g connection ko :) "
negative,,,@talk2GLOBE our bill has doubled already and yet we have not received our bill/s. 
positive,,,"@talk2GLOBE Yes, same. I'll msg my location. Thanks. "
neutral,,,Globe Telecom Customer Service Hotline - News - Bubblews http://t.co/EaTIS36CO9 #bubblews @enjoyglobe 
neutral,,,@talk2GLOBE I did it myself. The microsim from globe is useless anyway. Paid for a useless sim 
negative,,,Lunes (@ Globe Telecom Plaza - @enjoyglobe w/ @lejemdary @infinity072509 @miszjentot @deybdeybdeyb @hencsison_24) http://t.co/v8fnNNJTJZ 
positive,,,Monday blues! :)) #GoLangNangGo (@ Globe Telecom Plaza - @enjoyglobe w/ 27 others) http://t.co/fZvXK4TI6Z 
negative,,,@JoyceOfGlobe I tweeted @enjoyglobe then @KenOfGlobe answered me. Then you will say that I will tweet to @enjoyglobe again? Ano to pasahan?! 
positive,,,@talk2GLOBE Thanks! Hope it will be activated within the day. 
neutral,,,@Orville_Tadle i got into postpaid even as a student with only receipts from Xoom as proof of income 2+ years ago.. @enjoyGLOBE Justice! 
negative,,,@jeromeadel pina-process pa siguro ng @enjoyglobe. :) 
neutral,,,@talk2GLOBE Basic troubleshooting please. 
negative,,,@talk2GLOBE I already did. Kindly check your inbox. Tnx. 
negative,,,No Internet connection here in the office. Thank you @talk2GLOBE for your service that sucks. 
neutral,,,Hello! Please check ur DM @talk2GLOBE 
neutral,,,"@talk2GLOBE Yes, most of the time. :( "
negative,,,Walang 3g signal d2 sa philcom building paseo @talk2GLOBE edge lng @ 
neutral,,,@talk2GLOBE what Account Number? 
positive,,,@enjoyGLOBE Hello! I am an IE student from UST. I am wondering if you do sponsorship on school organizations? Thank you! :) 
neutral,,,Telco to open advanced technology data center: GLOBE Telecom recently announced that its newest data center at... http://t.co/UKoEh4o2Z2 
neutral,,,@talk2GLOBE i should not have wap charges bec i'm not using an old fone. Same error last bill. Pls check with your tech @NelskiOfGlobe help! 
negative,,,@talk2GLOBE you have the WORST services. Very INEFFICIENT. 
neutral,,,"@talk2GLOBE I paid my bill with cash then it debit on my CC, so it was paid twice. Will the excess be carried over to the next bill? "
negative,,,@talk2GLOBE having problem registering to Gcash Amex virtual Card 
negative,,,"@talk2GLOBE Ok, already sent it. Thank you. "
negative,,,@enjoyGLOBE Hello po. Dati na 'kong registered sa GCash. Pero can I still win in the OMGCash? How can I (more) http://t.co/2yG8UWtFXM 
neutral,,,@talk2GLOBE can i ask if samsung s3 mini plan 999 is available at globe stores in 
neutral,,,RT enjoyGLOBE: #OMGCASH! Winning promo code for June 8 is G03560425. Increase UR chances of winning P100K GCASH everyday! Visit http://t.c÷ 
negative,,,"Super BS ang Globe. Sira un billing nila from March and until now, sira pa rin? Ano to? Tapos maniningil kayo isang bulto??? @talk2GLOBE "
positive,,,"@overLLOYD napapagtripan tuloy ako samin na baka nabudol lang ako ni @enjoyglobe,. lol sila kase mas excited sa pagdating ng phone.. :) "
negative,,,"@talk2GLOBE im having prblm enrolling to gservices apps. Keep saying ""for ur newly activated numbers please wait 48 hrs prior to enrollment"" "
positive,,,unsatisfied customer...hope your service would change for the better @enjoyGLOBE 
negative,,,"WTF, pinapakalma ako ng 2662(good vibes) kahit inuubos nila load ko araw araw. shtty Globe telecom "
neutral,,,"@talk2GLOBE hi, do we have development regarding my case? "
negative,,,@talk2GLOBE you always say that but you cant do a darn thing about my problem. Maybe you wanna do your job and check your records huh?! 
neutral,,,@talk2globe got my May bill today but I don't have April yet.Can I request a copy of my April bill.Please send it to eelinoh_17@yahoo.com TY 
positive,,,RT @t3chphilosopher: Globe Real Stories: DaddyÌs Girl @enjoyGLOBE @joceldeguzman @NixMayo @yolycrisanto #GladToBeGlobe http://t.co/ycFaT4Ia÷ 
neutral,,,are there anyway to contact @talk2GLOBE quickly? my goodness. 
negative,,,@talk2GLOBE I want to know if I could use my new postpaid plan now. Been waiting for too long 
neutral,,,@talk2GLOBE here's the result http://t.co/JoHHMC61F0 #speedtest 
neutral,,,@talk2GLOBE the plan 499 or 999 iphone5s is for how many months? I am on plan 499 galaxy pocket since Nov 2012 can i cash out n get iphone5? 
negative,,,@talk2GLOBE: @zielcabreros Thank you for the details. Allow us to work on this now. Be right back. Still no update after 3 hours??? 
negative,,,"@talk2GLOBE  If I dont get any feedback or if I cant get my plan upgrade this week, I will cancel my order. "
neutral,,,How you know Globe's ( @talk2GLOBE ) just not that into you: They never call after 24-48 hours after they promise they will. 
negative,,,"@talk2GLOBE No, i don't understand!! It's been 20 days already! What a lousy service!!!! ?? "
positive,,,@talk2GLOBE HELLO? SIGNAL IN MIAGAO PLEASE! DI NAGAGAMIT PLAN KO NG MAAYOS BWESET KAYO! 
neutral,,,Bills! (@ Globe Telecom) http://t.co/S3yHCppDzR 
negative,,,"Hay @talk2GLOBE can ur billing be more irritating? A few weeks back, complained about billing, now my billing shot up another 4k?!!! ANO BA? "
positive,,,@talk2GLOBE Thanks guys! 
neutral,,,Globe Telecom caravan Elizabeth Mall Christian Abella and VAMP models http://t.co/J5ZO4yonu3 
neutral,,,@talk2globe how come my online e-bill is not updated? 
neutral,,,@talk2GLOBE It's still slow po and there are short disconnections from time to time. 
neutral,,,@talk2GLOBE can I also raise my concern about my transfer of service (broadband) here? It's been 11 days since I requested for it. 
neutral,,,@talk2GLOBE how do i open the password protected e-billing? what's the default PW? 
negative,,,@talk2GLOBE what is the globe@airboost  differnt from the normal globe signal and how can we subscribe? 
neutral,,,"I'm at Globe Telecom Plaza (Mandaluyong City, Metro Manila) w/ 21 others http://t.co/5Wyuq0kPnX "
neutral,,,I'm at 3/F Globe Telecom Plaza II http://t.co/uJqLCTiXF5 
neutral,,,"@talk2GLOBE after lock up period, my postpaid service would just continue right? Unless I terminate or modify it? "
positive,,,@talk2GLOBE thank you. 
positive,,,"i've been using globe for 8years, and this is the first time that i commend a representative. Thanks to #PJ.. #globe @talk2GLOBE @globe "
neutral,,,My last day at Globe Telecom Abreeza http://t.co/XzEBa5vMS3 
neutral,,,@talk2GLOBE Hi! I would just like to confirm if there's really an ongoing offer of 499 unlisurf to selected postpaid users. 
neutral,,,@talk2GLOBE I just got a call from Alliance offering me a new line and a new phone with 499 unlisurf plus 100 pesos consumable. Is it legit? 
negative,,,Hi @talk2globe buti naman at ok na yong current bill charges ko.Bumalik na sa dati.Pero yong previous bill charges ko pa follow-up nman. 
neutral,,,RT @enjoyGLOBE: #OMGCASH! Winning promo code for June 8 is G03560425. Increase UR chances of winning P100K GCA... http://t.co/A8QGqPdcvT 
negative,,,@mariasgracias @talk2GLOBE really?! You have to request for LTE activation? 
neutral,,,@talk2GLOBE ok ty 
negative,,,@talk2GLOBE problem on my roaming 
negative,,,Why so hirap to talk to customer service rep? @talk2GLOBE 
neutral,,,"@theD0Y @talk2GLOBE Hi sir, telcos are regulated by the National Telecommunications Commission under the Ofc of the Pres. Dial NTC: 924-4042 "
